vm.dirty_ratio,net.core.somaxconn,result
25,64,1.011922836303711
25,128,1.0081892013549805
15,64,1.0073566436767578
15,128,1.0094568729400635
5,128,1.006035566329956
5,256,1.0052947998046875
30,64,1.006131649017334
30,128,1.0066232681274414
20,64,1.0055220127105713
5,128,1.006556749343872
10,256,1.0064363479614258
10,64,1.0075223445892334
20,256,1.007462739944458
20,128,1.007293939590454
25,256,1.0063796043395996
15,256,1.0072884559631348
30,256,1.0058715343475342
10,128,1.0071053504943848
5,64,1.0094304084777832
10,256,1.0069189071655273
